Temp,RH,Light,Pressure,UV,WifiAmnt,WifiAvg,WifiMax,BLEAmnt,BleAvg,BleMax,Location
25,51,165,100,0,199,49.31658291,89,48,-80.5625,-40,Inside
25,52,164,100,0,200,49.175,89,48,-80.70833333,-36,Inside
25,51,164,100,0,192,49.58333333,89,49,-81.10204082,-40,Inside
25,52,174,100,0,183,45.49726776,89,48,-77.79166667,-40,Inside
25,52,191,100,0,193,47.29015544,87,50,-79.4,-38,Inside
25,53,214,100,0,193,48.51813472,89,47,-79.93617021,-40,Inside
25,52,422,100,0,200,48.745,89,47,-80.04255319,-38,Inside
25,51,206,100,0,198,49.36363636,89,50,-80.94,-37,Inside
25,52,196,100,0,199,49.10050251,89,47,-79.34042553,-38,Inside
25,52,201,100,0,196,49.25,89,48,-79.72916667,-38,Inside
24,52,203,100,0,199,49.05025126,89,50,-78.84,-38,Inside
25,52,316,100,0,200,48.555,89,49,-79.32653061,-40,Inside
25,53,458,100,0,197,48.67005076,89,51,-79.66666667,-40,Inside
24,53,439,100,0,199,49.06532663,89,50,-79.98,-37,Inside
25,53,407,100,0,196,49.10204082,89,50,-80.58,-40,Inside
25,51,369,100,0,200,48.715,89,52,-80.90384615,-38,Inside
25,52,325,100,0,200,48.82,89,49,-80.10204082,-40,Inside
24,52,278,100,0,198,48.85858586,89,49,-80.18367347,-37,Inside
25,52,240,100,0,200,48.765,89,46,-80.73913043,-40,Inside
24,53,233,100,0,198,49.21212121,89,48,-79.08333333,-40,Inside
